LOWERSOA,STWARD,COUNT OF ASB CASES IN 2009-10,COUNT OF ASB CASES IN 2010-11,COUNT OF ASB CASES IN 2011-12
E01003141,00AYGQ,3,9,10
E01003147,00AYGQ,12,3,1
E01003146,00AYGQ,4,1,3
E01003167,00AYGT,1,0,0
E01003116,00AYGM,0,1,2
E01003134,00AYGP,10,7,2
E01003166,00AYGT,3,4,2
E01003145,00AYGQ,7,3,5
E01003115,00AYGM,19,3,7
E01003144,00AYGQ,1,3,1
E01003063,00AYGF,11,10,7
E01003062,00AYGF,3,1,3
E01003087,00AYGH,8,15,9
E01003114,00AYGM,2,2,10
E01003150,00AYGR,18,1,4
E01003070,00AYGF,16,7,5
E01003069,00AYGF,4,7,2
E01003113,00AYGM,13,3,2
E01003086,00AYGH,6,16,4
E01003082,00AYGH,7,4,0
E01003149,00AYGR,1,1,0
E01003085,00AYGH,5,3,4
E01003119,00AYGM,12,6,2
E01003068,00AYGF,10,5,2
E01003120,00AYGM,6,1,3
E01003148,00AYGR,6,2,2
E01003084,00AYGH,1,0,2
E01003065,00AYGF,11,7,1
E01003155,00AYGR,4,2,0
E01003154,00AYGR,4,1,2
E01003083,00AYGH,5,3,1
E01003081,00AYGH,8,6,4
E01003118,00AYGM,6,2,1
E01003067,00AYGF,3,2,4
E01003080,00AYGH,3,4,2
E01003066,00AYGF,7,5,7
E01003064,00AYGF,0,1,1
E01003152,00AYGR,0,0,3
E01003151,00AYGR,2,5,2
E01003153,00AYGR,2,1,0
E01003079,00AYGH,5,7,6
E01003117,00AYGM,0,1,4
E01003135,00AYGP,9,9,6
E01003142,00AYGQ,0,3,3
E01003140,00AYGQ,0,1,2
E01003139,00AYGQ,6,5,9
E01003143,00AYGQ,1,1,5
E01003161,00AYGS,3,3,0
E01003170,00AYGT,2,2,1
E01003173,00AYGU,1,0,1
E01003160,00AYGS,5,5,0
E01003172,00AYGU,9,11,4
E01003171,00AYGU,4,17,1
E01003024,00AYGA,12,2,2
E01003179,00AYGU,15,10,1
E01003031,00AYGB,9,14,1
E01003022,00AYGA,6,8,6
E01003159,00AYGS,1,0,1
E01003028,00AYGB,9,7,1
E01003178,00AYGU,4,1,0
E01003054,00AYGE,8,6,1
E01003041,00AYGC,16,15,6
E01003042,00AYGC,2,0,0
E01003078,00AYGG,2,3,0
E01003177,00AYGU,6,8,2
E01003021,00AYGA,27,45,20
E01003030,00AYGB,1,5,0
E01003074,00AYGG,11,10,1
E01003018,00AYGA,11,10,7
E01003033,00AYGB,6,4,0
E01003027,00AYGB,0,0,0
E01003071,00AYGG,3,9,2
E01003029,00AYGB,10,13,0
E01003019,00AYGA,4,5,2
E01003043,00AYGD,7,3,1
E01003026,00AYGB,1,2,3
E01003020,00AYGA,13,15,3
E01003176,00AYGU,21,22,4
E01003044,00AYGD,2,1,2
E01003072,00AYGG,0,4,0
E01003032,00AYGB,4,15,5
E01003050,00AYGD,19,6,1
E01003058,00AYGE,1,2,2
E01003052,00AYGD,7,10,1
E01003057,00AYGE,10,14,1
E01003056,00AYGE,2,7,1
E01003055,00AYGE,8,11,3
E01003133,00AYGP,3,2,3
E01003165,00AYGT,5,3,2
E01003131,00AYGP,0,0,6
E01003138,00AYGP,1,4,1
E01003132,00AYGP,5,3,5
E01003130,00AYGP,3,1,1
E01003164,00AYGT,3,3,8
E01003158,00AYGS,6,3,0
E01003174,00AYGU,2,2,1
E01003137,00AYGP,21,9,5
E01003136,00AYGP,0,3,2
E01003175,00AYGU,1,5,0
E01003156,00AYGS,7,10,4
E01003157,00AYGS,2,1,1
E01003169,00AYGT,2,6,2
E01003025,00AYGA,5,5,3
E01003162,00AYGS,0,1,2
E01003163,00AYGS,1,9,1
E01003168,00AYGT,3,2,1
E01003023,00AYGA,16,8,0
E01003096,00AYGJ,2,2,3
E01003094,00AYGJ,1,1,2
E01003046,00AYGD,11,11,2
E01003059,00AYGE,4,3,4
E01003045,00AYGD,3,5,1
E01003034,00AYGC,6,6,3
E01003091,00AYGJ,3,13,5
E01003093,00AYGJ,3,0,1
E01003076,00AYGG,5,2,0
E01003128,00AYGN,6,2,1
E01003075,00AYGG,10,8,0
E01003188,00AYGW,6,10,2
E01003127,00AYGN,3,0,0
E01003092,00AYGJ,8,6,6
E01003109,00AYGL,8,15,11
E01003108,00AYGL,6,12,2
E01003111,00AYGL,3,11,4
E01003112,00AYGL,3,8,5
E01003110,00AYGL,5,10,4
E01003015,00AYFZ,1,13,8
E01003182,00AYGW,5,8,4
E01003126,00AYGN,5,2,1
E01003089,00AYGJ,1,2,5
E01003124,00AYGN,3,1,4
E01003187,00AYGW,1,1,0
E01003186,00AYGW,2,5,4
E01003185,00AYGW,5,1,0
E01003123,00AYGN,1,3,0
E01003184,00AYGW,3,2,0
E01003121,00AYGN,2,2,0
E01003180,00AYGW,3,3,1
E01003125,00AYGN,7,13,1
E01003181,00AYGW,1,6,2
E01003129,00AYGN,3,2,11
E01003122,00AYGN,6,5,3
E01003097,00AYGK,5,18,7
E01003183,00AYGW,2,6,3
E01003098,00AYGK,2,0,0
E01003104,00AYGK,4,3,4
E01003100,00AYGK,0,4,5
E01003099,00AYGK,0,1,4
E01003102,00AYGK,11,5,8
E01003103,00AYGK,8,4,5
E01003101,00AYGK,0,1,2
E01003107,00AYGL,1,5,1
E01003105,00AYGL,4,6,8
E01003106,00AYGL,12,26,9
E01003040,00AYGC,5,12,4
E01003039,00AYGC,6,2,4
E01003088,00AYGJ,9,7,5
E01003035,00AYGC,2,13,0
E01003073,00AYGG,3,7,2
E01003061,00AYGE,6,2,2
E01003047,00AYGD,19,10,10
E01003053,00AYGE,1,0,1
E01003051,00AYGD,7,4,4
E01003038,00AYGC,4,7,0
E01003036,00AYGC,11,17,1
E01003049,00AYGD,3,2,2
E01003048,00AYGD,1,1,3
E01003095,00AYGJ,2,1,2
E01003090,00AYGJ,3,6,3
E01003077,00AYGG,1,2,2
E01003060,00AYGE,5,2,0
E01003037,00AYGC,7,28,4
E01003014,00AYFZ,4,2,3
E01003013,00AYFZ,0,2,0
E01003017,00AYFZ,3,5,3
E01003012,00AYFZ,6,22,6
E01003016,00AYFZ,4,1,2
