LSOA,ONS WARD CODE,COUNT OF ADDRESSES
E01003141,00AYGQ,759
E01003147,00AYGQ,845
E01003146,00AYGQ,532
E01003167,00AYGT,721
E01003116,00AYGM,661
E01003134,00AYGP,644
E01003166,00AYGT,1110
E01003145,00AYGQ,808
E01003115,00AYGM,695
E01003144,00AYGQ,550
E01003063,00AYGF,732
E01003062,00AYGF,914
E01003087,00AYGH,631
E01003114,00AYGM,801
E01003150,00AYGR,811
E01003070,00AYGF,703
E01003069,00AYGF,552
E01003113,00AYGM,759
E01003086,00AYGH,664
E01003082,00AYGH,683
E01003149,00AYGR,729
E01003085,00AYGH,738
E01003119,00AYGM,861
E01003068,00AYGF,674
E01003120,00AYGM,1062
E01003148,00AYGR,837
E01003084,00AYGH,670
E01003065,00AYGF,735
E01003155,00AYGR,771
E01003154,00AYGR,811
E01003083,00AYGH,604
E01003081,00AYGH,842
E01003118,00AYGM,791
E01003067,00AYGF,658
E01003080,00AYGH,711
E01003066,00AYGF,819
E01003064,00AYGF,689
E01003152,00AYGR,775
E01003151,00AYGR,853
E01003153,00AYGR,938
E01003079,00AYGH,771
E01003117,00AYGM,865
E01003135,00AYGP,747
E01003142,00AYGQ,461
E01003140,00AYGQ,496
E01003139,00AYGQ,550
E01003143,00AYGQ,549
E01003161,00AYGS,553
E01003170,00AYGT,824
E01003173,00AYGU,711
E01003160,00AYGS,625
E01003172,00AYGU,873
E01003171,00AYGU,848
E01003024,00AYGA,779
E01003179,00AYGU,667
E01003031,00AYGB,733
E01003022,00AYGA,769
E01003159,00AYGS,778
E01003028,00AYGB,700
E01003178,00AYGU,700
E01003054,00AYGE,960
E01003041,00AYGC,693
E01003042,00AYGC,538
E01003078,00AYGG,657
E01003177,00AYGU,727
E01003021,00AYGA,670
E01003030,00AYGB,830
E01003074,00AYGG,1103
E01003018,00AYGA,999
E01003033,00AYGB,636
E01003027,00AYGB,510
E01003071,00AYGG,1005
E01003029,00AYGB,925
E01003019,00AYGA,930
E01003043,00AYGD,711
E01003026,00AYGB,705
E01003020,00AYGA,766
E01003176,00AYGU,808
E01003044,00AYGD,644
E01003072,00AYGG,805
E01003032,00AYGB,817
E01003050,00AYGD,809
E01003058,00AYGE,859
E01003052,00AYGD,771
E01003057,00AYGE,759
E01003056,00AYGE,812
E01003055,00AYGE,851
E01003133,00AYGP,782
E01003165,00AYGT,738
E01003131,00AYGP,676
E01003138,00AYGP,703
E01003132,00AYGP,573
E01003130,00AYGP,793
E01003164,00AYGT,989
E01003158,00AYGS,775
E01003174,00AYGU,855
E01003137,00AYGP,706
E01003136,00AYGP,885
E01003175,00AYGU,624
E01003156,00AYGS,703
E01003157,00AYGS,612
E01003169,00AYGT,1064
E01003025,00AYGA,856
E01003162,00AYGS,821
E01003163,00AYGS,637
E01003168,00AYGT,666
E01003023,00AYGA,1119
E01003096,00AYGJ,934
E01003094,00AYGJ,672
E01003046,00AYGD,769
E01003059,00AYGE,795
E01003045,00AYGD,734
E01003034,00AYGC,766
E01003091,00AYGJ,683
E01003093,00AYGJ,962
E01003076,00AYGG,977
E01003128,00AYGN,667
E01003075,00AYGG,698
E01003188,00AYGW,567
E01003127,00AYGN,759
E01003092,00AYGJ,962
E01003109,00AYGL,1171
E01003108,00AYGL,785
E01003111,00AYGL,706
E01003112,00AYGL,866
E01003110,00AYGL,948
E01003015,00AYFZ,790
E01003182,00AYGW,773
E01003126,00AYGN,738
E01003089,00AYGJ,663
E01003124,00AYGN,610
E01003187,00AYGW,729
E01003186,00AYGW,1107
E01003185,00AYGW,858
E01003123,00AYGN,760
E01003184,00AYGW,513
E01003121,00AYGN,658
E01003180,00AYGW,705
E01003125,00AYGN,715
E01003181,00AYGW,721
E01003129,00AYGN,812
E01003122,00AYGN,933
E01003097,00AYGK,750
E01003183,00AYGW,738
E01003098,00AYGK,692
E01003104,00AYGK,851
E01003100,00AYGK,902
E01003099,00AYGK,716
E01003102,00AYGK,987
E01003103,00AYGK,2203
E01003101,00AYGK,712
E01003107,00AYGL,957
E01003105,00AYGL,765
E01003106,00AYGL,1088
E01003040,00AYGC,645
E01003039,00AYGC,994
E01003088,00AYGJ,733
E01003035,00AYGC,798
E01003073,00AYGG,719
E01003061,00AYGE,531
E01003047,00AYGD,813
E01003053,00AYGE,757
E01003051,00AYGD,697
E01003038,00AYGC,752
E01003036,00AYGC,769
E01003049,00AYGD,667
E01003048,00AYGD,747
E01003095,00AYGJ,738
E01003090,00AYGJ,1152
E01003077,00AYGG,830
E01003060,00AYGE,663
E01003037,00AYGC,626
E01003014,00AYFZ,731
E01003013,00AYFZ,989
E01003017,00AYFZ,933
E01003012,00AYFZ,1010
E01003016,00AYFZ,607